x,y,z
-0.75275929,-0.75815509,0.69535453
2.70428584,-1.00252742,0.07080875
1.39196365,-1.94307652,0.16226262
0.59195091,0.64360002,0.78396705
-2.06388816,-0.14025504,0.25611074
-2.06403288,2.19420595,0.05565466
-2.65149833,-2.80734252,0.00868190
2.19705687,0.86320757,0.16970698
0.60669007,1.57769327,0.40273703
1.24843547,1.55691942,0.28147898
-2.87649303,2.31644380,0.01301326
2.81945911,1.37420246,0.04365387
1.99465584,2.56686037,0.03460644
-1.72596534,-1.00406040,0.28107568
-1.90905020,0.01925650,0.31342672
-1.89957294,-2.91552202,0.02118839
-1.17454654,-2.95825448,0.03976600
0.14853859,-1.55924028,0.45799010
-0.40832989,-2.39515682,0.15272056
-1.25262516,-1.43873179,0.31400835
0.67111737,-1.93774023,0.26222087
-2.16303684,-2.82887985,0.01765776
-1.24713211,2.45582488,0.08938247
-0.80182894,-2.95066121,0.05099720
-0.26358009,1.41649287,0.51644425
1.71105577,-2.08711268,0.09842209
-1.80195731,2.47337773,0.05074918
0.08540663,2.35677564,0.17027516
0.55448741,0.92340688,0.69122981
-2.72129752,1.03340490,0.06739648
0.64526911,-2.96796515,0.05305273
-1.97685526,2.90922940,0.01948727
-2.60969044,2.26699562,0.02228760
2.69331322,2.37063735,0.01660791
2.79379220,0.95546722,0.06234406
1.85038409,-0.93127843,0.25514287
-1.17231738,2.36189189,0.10935405
-2.41396732,-1.25089843,0.09508900
1.10539816,0.37626926,0.64790557
-0.35908504,-2.40161417,0.15305230
-2.26777059,2.53173378,0.02529213
-0.02893854,-2.15537725,0.22786014
-2.79366887,-1.65061917,0.03503086
2.45592241,0.34880495,0.14105143
-1.44732011,1.58455800,0.23084815
0.97513371,0.71610784,0.62756441
-1.12973354,-1.60719652,0.29273768
0.12040813,-2.99434174,0.05734856
0.28026168,1.54290348,0.45714478
-1.89087327,2.91124396,0.02158254
2.81750777,1.85947872,0.02658354
1.65079694,-0.23876029,0.41247416
2.63699365,2.42260357,0.01688033
2.36896410,-0.54091396,0.15266859
0.58739987,0.14960451,0.88962660
2.53124541,-0.13722140,0.12931942
-2.46904499,-0.31425676,0.13919064
-1.82410283,1.65114462,0.14559446
-2.72863627,0.16061344,0.09271977
-1.04801802,-1.09969727,0.47971839
-0.66793626,-1.45105099,0.44386826
-1.37190581,-2.77351610,0.04746971
1.97242505,0.49917097,0.26775420
-0.85948004,-1.62023151,0.34275182
-1.31439294,-2.11119647,0.13964156
0.25617650,0.92297978,0.74672741
-2.15445465,1.08725555,0.15664504
1.81318188,1.51292935,0.16946960
-2.55269614,0.02146138,0.12563985
2.92132162,2.36432763,0.01115507
1.63346862,2.61805652,0.04826316
-1.80770591,1.84422564,0.11969616
-2.96686730,0.81356089,0.04916649
1.89276857,-1.17767428,0.20559693
1.24114406,2.89766953,0.04229772
1.37404301,-1.35518300,0.30557807
1.62762208,-1.78405847,0.15623577
-2.55573209,-0.34707532,0.12033571
-0.84920563,-2.65895658,0.08374188
-2.30478564,2.87096679,0.01337287
2.17862056,0.53060134,0.20180804
0.73978876,0.34171255,0.80947027
-1.01461185,0.93477768,0.54562564
-2.61864990,-0.01785811,0.11271908
-1.13410607,-2.80761890,0.05401151
-1.04890007,0.67386773,0.60972602
1.37763707,1.29704326,0.31994228
0.82534483,-0.49950564,0.74360076
2.32327646,1.54377343,0.08401823
-0.16671045,-1.63799220,0.42194602
-2.28243452,-1.67234045,0.07820184
1.27946872,-2.03149807,0.15965404
1.56471029,-0.76803144,0.38018926
0.36766319,2.08207221,0.24101186
1.62580308,1.96747237,0.12574127
-0.03722642,-0.70305475,0.85404001
0.13639698,0.53471242,0.90761754
-0.43475389,1.32489790,0.53853073
-2.84748524,-1.55275935,0.03514137
-2.35265144,-1.99115348,0.04861438
-2.81142489,2.83257596,0.00628298
0.81846247,0.70534388,0.68963553
-1.11386411,2.88849433,0.04732524
0.05142415,-0.97346408,0.73898143
2.44539884,1.21819020,0.09293517
-1.50424663,-1.66437818,0.20148792
-0.53770246,-1.43279897,0.47450009
1.53330683,0.07141273,0.47237631
-1.62721101,-1.08229125,0.29650845
-2.53812054,-1.99427062,0.03627867
-1.26149128,-1.42271579,0.31636990
-2.03267228,-2.78550963,0.02270964
2.57818591,1.22654173,0.07466930
1.84872228,-0.04730006,0.33667964
0.80042254,-2.43454160,0.12361863
2.22876354,-1.96983604,0.05982740
1.82203246,-2.38479277,0.05686760
-1.88057965,0.67555685,0.28055159
2.35535399,-2.43473782,0.02591820
0.23605345,1.52569400,0.46828417
1.84464093,-2.87693448,0.02429013
2.37654780,-1.50374527,0.08065408
-1.09197915,2.34400006,0.11902043
-2.33968845,1.31118791,0.10129520
-1.63238902,-2.56219000,0.05297979
-0.43735327,1.92675663,0.28863960
1.90808860,-0.04178927,0.31365577
2.16438350,2.08069816,0.05674425
-2.95828722,0.60443865,0.05491490
0.06448382,1.09099819,0.68372428
-0.49553398,2.96100936,0.05675744
-1.66735314,-1.60598672,0.18160789
-2.28080780,0.74367345,0.16010648
-0.97430897,-0.23807166,0.72599963
2.65745822,-2.76328828,0.00929322
-1.06078241,-2.91317615,0.04690888
0.11274373,-2.28462853,0.18910114
1.21811375,0.89455044,0.48334400
-0.81822239,0.40297853,0.76736287
2.83069250,0.32057737,0.07552644
2.77468377,-2.80885942,0.00699896
-1.48930623,-0.18418202,0.48830265
-0.01650896,2.54773691,0.12666309
-1.19473014,-0.61444878,0.56297152
-1.29095703,0.74953482,0.49198207
-2.77867832,1.67891205,0.03491209
0.65738600,1.70355167,0.34599774
0.01607414,0.11568049,0.99566755
-2.69112749,2.14771167,0.02297128
-1.32812121,-0.65173144,0.49824066
2.44959532,2.33215929,0.02621821
-1.56262866,-1.55863700,0.21213389
-2.13063077,-1.31870156,0.13553463
-0.06328344,-2.68127625,0.10129870
2.91390272,1.77349102,0.02462765
-1.54766837,-0.49766858,0.43115934
1.03281328,-1.62530032,0.30715894
1.56971769,-1.60925833,0.20015745
-1.57417474,2.40839965,0.07171170
1.36929809,2.00349960,0.15342812
-0.79330120,0.32118531,0.79202859
0.79383498,0.69666480,0.70111755
0.80117826,-0.15404658,0.80906788
0.21464810,-0.65000074,0.86143818
-2.45826138,2.49286129,0.02020847
2.01181497,-2.24632378,0.05532615
-1.07531961,-0.48931926,0.64128608
-1.88088894,-0.93262855,0.24586730
-2.75534915,-0.01109568,0.08922165
0.54535766,-0.25420875,0.89115226
1.06538617,0.11333719,0.69392896
-2.90047303,-2.16048614,0.01555093
0.07255835,0.07884901,0.99635187
-1.64102535,-1.54548712,0.19839605
0.87103674,-1.89401191,0.25073207
-1.95380143,-2.61099469,0.03387395
1.14562643,1.57591535,0.29870629
-0.67958792,-0.43534847,0.81274580
2.62037993,0.75986210,0.09353410
-2.17487434,1.36556006,0.12255438
-0.95360189,1.07589999,0.51792738
-2.31915887,-0.17699569,0.17870821
2.54816171,-0.67260883,0.10960951
2.26403612,-0.74424054,0.16399461
-1.45235023,0.84029278,0.40812824
0.95990428,-0.03123387,0.74556987
1.90333320,2.09479349,0.07808724
0.33120487,2.24821191,0.19324411
0.17790347,-1.97663773,0.28543473
-1.54888625,-2.18259809,0.10228578
-2.44138339,0.78240556,0.12342824
2.38329455,-1.19264551,0.10426758
2.40250834,-2.88857569,0.01118440
0.79860874,2.33185602,0.14459232
-0.96582125,-1.63859540,0.31613584
-0.90474255,2.57568391,0.09326875
1.35573407,1.30460671,0.32406171
2.38266156,1.57592094,0.07445201
2.32251855,-1.79123103,0.06468067
1.67925328,-1.59483345,0.18136956
0.85218988,0.12760652,0.78950541
-2.49516021,-1.96740088,0.04020303
-2.03022772,-1.16740984,0.17450100
2.39132513,-1.07122513,0.11242121
0.63857436,-2.04222040,0.23284945
-2.94481769,-1.76890300,0.02336853
-2.39117074,1.73131105,0.06240476
0.98101061,-1.99682487,0.20689669
-2.96963050,-2.82925565,0.00472422
-2.03515169,0.77612966,0.22088082
0.29240274,2.85589872,0.07255569
1.15137119,-1.01271711,0.47311035
0.91176756,-2.28806578,0.14499621
-1.65438414,0.42232395,0.39535035
1.27307533,2.43812527,0.08998879
-1.57650548,1.70437068,0.17982529
-1.04760181,0.73509521,0.59372506
1.47894843,-1.10966102,0.33682706
0.89779739,0.25128104,0.75830521
2.09534046,-2.45253095,0.03643852
0.94567735,1.07367255,0.52120841
0.40985162,1.35057611,0.53042104
-2.43795139,2.79018974,0.01265122
-0.79370518,-1.43761585,0.42384453
