x,y,z
-3.0,-2.94,0.00363868725
-3.0,-2.88,0.004066476027
-3.0,-2.82,0.004534155121
-3.0,-2.76,0.005044047899
-3.0,-2.7,0.005598435776
-3.0,-2.64,0.006199531475
-3.0,-2.58,0.006849450136
-3.0,-2.52,0.007550178475
-3.0,-2.46,0.00830354221
-3.0,-2.4,0.009111172055
-3.0,-2.34,0.009974468624
-3.0,-2.28,0.010894566634
-3.0,-2.22,0.011872298868
-3.0,-2.16,0.012908160372
-3.0,-2.1,0.014002273444
-3.0,-2.04,0.015154353963
-3.0,-1.98,0.016363679685
-3.0,-1.92,0.017629061095
-3.0,-1.86,0.018948815464
-3.0,-1.8,0.020320744729
-3.0,-1.74,0.021742117801
-3.0,-1.68,0.023209657894
-3.0,-1.62,0.024719535403
-3.0,-1.56,0.026267366843
-3.0,-1.5,0.027848220248
-3.0,-1.44,0.029456627386
-3.0,-1.38,0.031086603044
-3.0,-1.32,0.032731671535
-3.0,-1.26,0.034384900464
-3.0,-1.2,0.036038941682
-3.0,-1.14,0.037686079237
-3.0,-1.08,0.039318283987
-3.0,-1.02,0.040927274449
-3.0,-0.96,0.042504583289
-3.0,-0.9,0.044041628791
-3.0,-0.84,0.045529790485
-3.0,-0.78,0.04696048806
-3.0,-0.72,0.048325262562
-3.0,-0.66,0.04961585882
-3.0,-0.6,0.050824308012
-3.0,-0.54,0.051943009194
-3.0,-0.48,0.052964808664
-3.0,-0.42,0.053883075982
-3.0,-0.36,0.054691775524
-3.0,-0.3,0.055385532507
-3.0,-0.24,0.05595969245
-3.0,-0.18,0.056410373168
-3.0,-0.12,0.056734508491
-3.0,-0.06,0.056929882996
-3.0,0.0,0.056995157229
-3.0,0.06,0.056929882996
-3.0,0.12,0.056734508491
-3.0,0.18,0.056410373168
-3.0,0.24,0.05595969245
-3.0,0.3,0.055385532507
-3.0,0.36,0.054691775524
-3.0,0.42,0.053883075982
-3.0,0.48,0.052964808664
-3.0,0.54,0.051943009194
-3.0,0.6,0.050824308012
-3.0,0.66,0.04961585882
-3.0,0.72,0.048325262562
-3.0,0.78,0.04696048806
-3.0,0.84,0.045529790485
-3.0,0.9,0.044041628791
-3.0,0.96,0.042504583289
-3.0,1.02,0.040927274449
-3.0,1.08,0.039318283987
-3.0,1.14,0.037686079237
-3.0,1.2,0.036038941682
-3.0,1.26,0.034384900464
-3.0,1.32,0.032731671535
-3.0,1.38,0.031086603044
-3.0,1.44,0.029456627386
-3.0,1.5,0.027848220248
-3.0,1.56,0.026267366843
-3.0,1.62,0.024719535403
-3.0,1.68,0.023209657894
-3.0,1.74,0.021742117801
-3.0,1.8,0.020320744729
-3.0,1.86,0.018948815464
-3.0,1.92,0.017629061095
-3.0,1.98,0.016363679685
-3.0,2.04,0.015154353963
-3.0,2.1,0.014002273444
-3.0,2.16,0.012908160372
-3.0,2.22,0.011872298868
-3.0,2.28,0.010894566634
-3.0,2.34,0.009974468624
-3.0,2.4,0.009111172055
-3.0,2.46,0.00830354221
-3.0,2.52,0.007550178475
-3.0,2.58,0.006849450136
-3.0,2.64,0.006199531475
-3.0,2.7,0.005598435776
-3.0,2.76,0.005044047899
-3.0,2.82,0.004534155121
-3.0,2.88,0.004066476027
-3.0,2.94,0.00363868725
-3.0,3.0,0.003248447948
-2.94,-2.94,0.004075806391
-2.94,-2.88,0.004554985862
-2.94,-2.82,0.005078847714
-2.94,-2.76,0.005649994421
-2.94,-2.7,0.006270981469
-2.94,-2.64,0.006944287395
-2.94,-2.58,0.007672281436
-2.94,-2.52,0.008457188972
-2.94,-2.46,0.009301055046
-2.94,-2.4,0.010205706273
-2.94,-2.34,0.011172711521
-2.94,-2.28,0.012203341826
-2.94,-2.22,0.013298530012
-2.94,-2.16,0.014458830596
-2.94,-2.1,0.015684380565
-2.94,-2.04,0.016974861671
-2.94,-1.98,0.018329464902
-2.94,-1.92,0.019746857847
